Kategori,Judul Berita,Isi Berita
FINANCE,"Sudah Punya Ide Usaha, Tapi Belum Berani Mulai? Yuk Pelajari dari Nol","Banyak orang sebenarnya sudah lama pengin punya usaha sendiri, tapi gak pernah benar-benar mulai karena kebayang skenario terburuk duluan, rugi, ditolak pasar, atau malu kalau gagal di depan orang lain. Rasa takut ini yang sering bikin ide bisnis cuma nyangkut di kepala.
Rasa takut gagal sebenarnya wajar dialami siapa saja yang baru mau memulai sesuatu, termasuk bisnis. Masalahnya muncul kalau rasa takut ini bikin kamu terus menunda tanpa pernah benar-benar mencoba.
Padahal, cara memulai usaha tanpa takut gagal bukan soal menghilangkan rasa takutnya sama sekali, tapi soal belajar mengambil langkah kecil yang terukur sambil tetap siap menghadapi kemungkinan gagal di awal.
Business Starter Class Ajarin Langkah Kecil yang Realistis
Business Starter Class: Cara Memulai Bisnis dari Nol Tanpa Bingung (Batch 3) dirancang untuk pemula yang masih terjebak di fase takut mulai. Kelas ini digelar secara online pada Senin, 28 September 2026, pukul 19.00-21.00 WIB, membahas dasar-dasar bisnis, cara menentukan ide usaha yang realistis, sampai strategi promosi sederhana yang bisa langsung dicoba tanpa modal besar.
Bukan cuma teori, kelas ini juga membantu peserta membangun mindset yang lebih siap menghadapi kegagalan kecil sebagai bagian normal dari proses belajar bisnis, bukan akhir dari segalanya. Cara ini juga lebih masuk akal buat kamu yang belum punya pengalaman bisnis sama sekali sebelumnya.
Tertarik untuk ikut? Langsung daftarkan dirimu di detikevent!
(hns/hns)"
FINANCE,Harga Pertalite Nggak Naik hingga Akhir Tahun!,"PT Pertamina Patra Niaga memastikan harga bahan bakar minyak (BBM) bersubsidi tidak naik hingga akhir 2026. Ketetapan ini sejalan dengan arahan pemerintah.
Harga BBM Subsidi saat ini, Pertalite Rp 10.000/liter dan Biosolar (solar subsidi) Rp 6.800/liter.
Keputusan ini juga berlaku di tengah dinamika pembentuk harga BBM, seperti harga minyak dunia dan fluktuasi nilai tukar rupiah terhadap dolar Amerika Serikat (AS).
Langkah ini menjadi upaya menjaga stabilitas harga energi dan daya beli masyarakat di tengah dinamika harga energi global.
""Pertamina Patra Niaga mengikuti kebijakan Pemerintah dalam penetapan harga BBM. Meskipun terdapat fluktuasi pada sejumlah parameter pembentuk harga, seperti harga minyak dunia dan nilai tukar, untuk BBM subsidi sesuai arahan Pemerintah tidak ada kenaikan harga hingga akhir 2026,"" jelas VP Communication Pertamina Patra Niaga, Kitty Andhora, dalam keterangan tertulis, Sabtu (12/9/2026).
Sementara untuk Jenis BBM Umum (JBU) atau BBM nonsubsidi, harga mengikuti formula yang telah ditetapkan Pemerintah. Penetapan harga JBU dilakukan dengan mengacu pada formula dan ketentuan yang berlaku.
Pertamina Patra Niaga berkomitmen menjalankan kebijakan pemerintah terkait harga dan penyaluran BBM. Perusahaan juga berkomitmen untuk memastikan kebutuhan energi masyarakat terpenuhi dengan baik.
""Sementara untuk JBU, harga mengikuti formula yang telah ditetapkan Pemerintah,"" tutur Kitty.
(hns/hns)"
SPORT,Hasil China Masters 2026: Jojo Terhenti di Babak Kedua,"Tunggal putra Indonesia, Jonatan Christie, menelan kekalahan di ajang China Masters. Pada babak kedua, Jojo dikalahkan Jason Gunawan 16-21 dan 16-21.
Di Arena Shenzhen, Shenzhen, Kamis (3/9/2026) pagi WIB, Jojo menjalani pertandingan selama 45 menit melawan Jason. Pertarungan gim pertama berjalan sengit dan imbang sampai 14-14.
Setelah itu, Jason tak terkejar. Pemain asal Hong Kong itu akhirnya menyudahi perjuangan Jojo dengan skor 21-16.
Pada gim kedua, Jojo juga menjalani pertarungan sengit melawan Jason. Skor imbang antara Jojo dan Jason bertahan sampai 13-13. Saat fase krusial, Jason kembali tampil lebih prima untuk merebut kemenangan 21-16.
Dengan hasil ini, wakil Indonesia di nomor tunggal putra China Masters pun habis. Indonesia masih mempunyai beberapa wakil di nomor ganda putra.
Sabar Karyaman Gutama/Muhammad Reza Pahlevi Isfahani, Ali Faathir Rayhan/Devin Artha Wahyudi, dan Leo Rolly Carnando/Daniel Marthin merupakan deretan pemain Indonesia yang masih berjuang."
SPORT,Foto Sport,"Kyrgyzstan - Pemandangan udara venue VI World Nomad Games terlihat di Kyrchyn Gorge, Issyk-Kul, Kyrgyzstan, saat ajang budaya dan olahraga nomaden berlangsung.
Foto Sport
Kyrchyn Gorge Jadi Panggung World Nomad Games
Jumat, 04 Sep 2026 22:02 WIB
Anda menyukai artikel ini
Artikel disimpan"
FINANCE,Rak Besi di Transmart Full Day Sale Rp 879 Ribu,"Transmart kembali menggelar program Full Day Sale pada Minggu (13/9/2026). Dalam promo ini, pelanggan dapat menikmati diskon besar-besaran sejak gerai dibuka hingga pukul 22.00 WIB.
Diskon yang ditawarkan tak main-main mencapai 50+20% dan berlaku untuk berbagai produk. Salah satunya adalah Rak Besi ukuran 90x40x183 cm yang mendapatkan potongan harga lebih dari Rp 1 jutaan.
Harga normal rak besi ini sebesar Rp 2.090.900 per unit, kemudian mendapatkan harga promo menjadi Rp 1.099.900 per unit.
Bagi pelanggan yang melakukan pembayaran menggunakan Kartu Kredit Bank Mega atau Bank Mega Syariah, dapat membawa pulang rak besi ini dengan harga Rp 879.920 per unit.
Perlu diingat, ada syarat dan ketentuan untuk mendapatkan diskon produk tersebut, di mana tidak berlaku untuk pembelian partai besar dan minimal transaksi Rp 300 ribu.
Di luar itu, selama Transmart Full Day Sale masih ada berbagai promo menarik lainnya hadir dengan diskon hingga 50%+20% untuk beragam produk, mulai dari sembako, produk rumah tangga, furnitur, kosmetik, fesyen, hingga elektronik.
Jadi tunggu apa lagi? Buruan serbu gerai Transmart terdekat dan nikmati segudang promo yang ada!
(ahi/hns)"
SPORT,MotoGP Aragon 2026: Alex Marquez Syukuri Raihan Poin Penting,"Rider Gresini Racing, Alex Marquez, finis keempat di MotoGP Aragon 2026. Dia pun mensyukuri raihan poin penting di Aragon.
Dalam 23 lap balapan di MotoGP Aragon 2026, Marc Marquez yang menjadi pemenang. Baby Alien menjadi yang tercepat pada race, Minggu (30/8/2026), dengan catatan waktu 41 menit 10,969 detik.
Alex Marquez menyentuh garis finis berselang 8,687 detik dari kakaknya, Marc Marquez. Dia harus puas menempati posisi keempat.
Dengan hasil ini, Alex Marquez pun mengantongi 13 poin dari main race MotoGP Aragon 2026. Secara keseluruhan, Alex Marquez membawa pulang 22 poin dari MotoGP Aragon karena finis kedua saat sprint race MotoGP Aragon.
Alex Marquez menyesali kesalahan yang dia lakukan saat awal-awal balapan. Oleh karena itu, dia cuma bisa mensyukuri raihan poin kali ini.
""Sayangnya, start kami membatasi peluang kami hari ini. Saya melakukan kesalahan dan kehilangan banyak posisi. Di sirkuit seperti ini, start sangat krusial, dan dari situlah kami kehilangan kontak dengan kelompok terdepan,"" kata Alex Marquez seperti dikabarkan oleh situs Gresini Racing.
""Terlepas dari itu, kami tetap akan kesulitan dalam manajemen ban: pendekatan yang menguntungkan kami di Silverstone, tetapi tidak berhasil di sini. Kami pulang dengan mengantongi banyak poin penting menjelang GP kandang kami di Misano, ajang paling penting tahun ini bagi tim,"" kata dia menambahkan.
(cas/ran)"
SPORT,Bilal Hasan Bikin Legenda UFC Ini Kagum,"Bilal Hasan memulai debut di UFC dengan meyakinkan, menang KO. Legenda UFC, Henry Cejudo dibikin kagum olehnya.
UFC Fight Night: Nurmagomedov vs Song dalam UFC Shanghai digelar di Oriental Sports Center, Sabtu (29/8). Bilal Hasan yang jalani laga debut, hadapi petarung asal Peru, Nilson Rojas di kelas flyweight.
Kedua petarung punya rekor sama 9-0. Bilal menang di ronde kedua setelah pukulan lurus kanannya masuk sempurna!
Bilal Hasan kini punya rekor kemenangan di dunia MMA 9-0. Petarung asal Indonesia itu memulai debut di UFC dengan mulus, bikin Henry Cejudo kagum!
""Bilal melepas pukulan jab dan sesaat ketika tangan kirinya turun, bum! Pukulan kanan yang lurus ke arah tengah,"" katanya di sosial media.
""Anak ini punya daya tarik. Dia punya sebuah pertunjukan dan membuktikannya di dalam oktagon,"" tambahnya.
Henry Cejudo merupakan legenda di UFC. Dia pernah menyabet dua gelar di kelas flyweight dan bantam weight.
Cejudo sebelumnya pernah juga memuji Bilal Hasan saat kemenangan KO 45 detik. Itu ketika 'The IndoNinja' menang atas petarung asal India, Mridul Saikia dalam perebutan kontrak UFC di Dana White's Contender Series (DWCS) Season 10, Agustus lalu.
""Menang KO cuma 45 detik, ingat-ingat namanya, Bilal Hasan,"" jelas Cejudo.
""Dana White sudah terkesan padanya. Apalagi di kelas flyweight, banyak petarung hebat. Saya nggak sabar menantikan aksi-aksinya,"" sambungnya.
Simak juga Video: Menlu AS Bicara Alasan Pemasangan Ring UFC di Halaman Gedung Putih"
SPORT,Men's World Tennis Championship: Gunawan Tembus Babak Utama Seri IV,"Satu wakil Indonesia lolos ke Babak Utama Seri 4 M-15 Amman Mineral Men's World Tennis Championship 2026. Dia adalah Gunawan Trismuwantara.
Pada pertandingan final kualifikasi di lapangan A, Bali Beach Country Club, Nusa Dua, Senin (31/8/2026), Gunawan menghadapi Haruto Ishikawa asal Jepang.
Petenis 23 tahun itu harus bertarung ketat tiga set selama 1 jam 41 menit untuk memastikan tiket babak utama dengan kemenangan 4-6, 6-6, dan 10-7.
Setelah saling balas di dua set pertama, format super tie break harus digunakan di set ketiga untuk menentukan pemenang. Gunawan bisa memenangi set penentuan tersebut dengan skor akhir 10-7.
""Saya memang sering melakukan kesalahan di set pertama, terutama saat poin penting. Namun, saya kembali fokus di sisa game, terutama di babak super tie dan akhirnya bisa menang,"" ujar Gunawan dalam rilis kepada detikSport.
Pada pertandingan lainnya di lapangan F, performa impresif Ethan David Zapp gagal dilanjutkan saat bertemu unggulan ketiga dari India, Shanker Heisnam.
Meski telah mengeluarkan seluruh permain terbaiknya dan memberikan perlawanan keras terutama di set awal, petenis 17 tahun itu takluk 4-6 dan 1-6 dalam tempo 1 jam 35 menit.
Gunawan pun menemani sejumlah pemain Indonesia yang lebih dulu masuk Babak Utama lewat fasilitas Wild Card, seperti Anthony Susanto, Nathan Barki, dan Rafalentino Ali Da Costa.
Selain turun dinomor tunggal pada kejuaraan yang berhadiah total 20 ribu dolar AS, Indonesia punya enam wakil di nomor ganda melalui Gunawan Trismuwantara/Kareem Abdul Hakim, Rafalentino Ali Dacosta/Ethan David Zapp serta Anthony Susanto yang menggandeng pemain Jepang Ren Nakamura."
FINANCE,"Alat Masak Diobral di Transmart Full Day Sale, Serbu!","Pesta diskon Transmart Full Day Sale masih menyapa pelanggan setia seharian penuh. Banyak diskon bertebaran untuk berbagai produk kebutuhan rumah tangga, seperti perlengkapan masak.
Spesial hari ini, ada diskon hingga 50% dan tambahan diskon 20% apabila pembayaran menggunakan kartu Bank Mega atau Bank Mega Syariah. Diskon ini berlangsung mulai buka toko hingga pukul 22.00 waktu setempat.
Perlengkapan masak mulai dari panci hingga teflon merek Maxim dan Maspion ditawarkan dengan harga promo mulai Rp 99.900/unit. Padahal, harga aslinya Rp 1.199.000/unit.
Lebih murah lagi pakai kartu kredit Bank Mega atau Bank Mega Syariah, jadi Rp 79.920/unit. Pembeli bisa hemat Rp 1,11 jutaan.
Untuk yang belum punya Kartu Kredit Bank Mega, nggak perlu khawatir. Ada unit pembukaan instan yang tersedia di gerai Cibubur dan Central Park. Jangan lupa merapat ke Transmart Full Day Sale dan nikmati diskon besar-besaran.
(acd/acd)"
SPORT,Atlet Bukan Satu-Satunya Kunci Kemajuan Olahraga Nasional,"Kemajuan olahraga suatu negara bukan cuma soal kemampuan Atlet, namun banyak fakto yang mempengaruhi.
Sistem pembinaan, sport science, infrastruktur, kompetisi, tata kelola, hingga kebijakan yang berkelanjutan turut menjadi faktor penting. Persoalan tersebut akan menjadi salah satu bahasan dalam bedah buku 'Membangun Otot di Negeri Kertas' karya Sadik Algadri yang digelar di Gedung Serbaguna GBK, Jakarta, Sabtu (5/9/2026).
Forum tersebut mempertemukan sejumlah tokoh dari latar belakang berbeda, mulai dari akademisi, wartawan senior olahraga, hingga praktisi dan insan olahraga. Akademisi sekaligus filsuf Rocky Gerung bakal turut membedah isi buku tersebut.
""Olahraga Indonesia tidak cukup hanya memiliki atlet-atlet berbakat. Kita membutuhkan ekosistem olahraga yang kuat, profesional, berbasis ilmu pengetahuan, dan berkelanjutan,"" kata Sadik.
""Saya percaya, prestasi internasional tidak lahir hanya dari atlet yang hebat. Prestasi membutuhkan ekosistem yang kuat,"" sambungnya.
Melalui buku Membangun Otot di Negeri Kertas, Sadik- mantan atlet judo nasional Indonesia - mencoba membongkar berbagai persoalan yang selama ini membelenggu olahraga Indonesia.
""Saya ingin melihat atlet-atlet Indonesia berdiri sejajar dengan atlet terbaik dunia. Bukan sebagai pelengkap kompetisi. Bukan sekadar penggembira. Tetapi sebagai kekuatan yang diperhitungkan,"" tandasnya.
Rocky merasa Indonesia punya banyak masalah dalam memajukan olahraga. Dia merasa buku ini bisa menjadi rujukan dalam mengelola olahraga.
""Indonesia menumpuk regulasi, menerbitkan undang-undang, serta memproduksi jargon-jargon teknokratis yang megah-mulai dari sport science, long-term athlete development, hingga produk mutakhir berupa Desain Besar Olahraga Nasional (DBON),"" kata Rocky.
""Buku Membangun Otot di Negeri Kertas, bukan sekadar gagasan brilian, tapi juga solusi untuk meningkatkan prestasi olahraga nasional Indonesia,"" pungkasnya."
SPORT,Ini Dia 20 Pebulutangkis Indonesia di Asian Games 2026,"Persatuan Bulutangkis Indonesia (PBSI) baru saja mengumumkan daftar 20 pemain yang dibawa ke Asian Games 2026. Jonatan Christie salah satunya.
Dari daftar 20 nama itu dibagi rata, yakni 10 pebulutangkis putra dan 10 pebulutangkis putri. Keputusan ini diambil setelah melalui evaluasi yang mendalam selama beberapa bulan.
Beberapa aspek yang dinilai adalah performa terkini, kondisi fisik, hingga kebutuhan teknis tim, sebelum nama-nama pemain dipilih.
""Penetapan skuad itu dilakukan setelah melalui proses evaluasi secara menyeluruh. Kami melihat performa, kondisi fisik dan teknis masing-masing pemain, serta kebutuhan tim untuk menentukan komposisi yang paling sesuai dengan target di Asian Games,"" ujar Kepala Bidang Pembinaan dan Prestasi PBSI, Eng Hian, dalam keterangan resminya.
Meski membawa 20 nama ke Asian Games Aichi-Nagoya 2026, ada beberapa nama yang memang tidak akan tampil di nomor perorangan. Mereka lebih difokuskan untuk menambah kedalaman skuad di nomor beregu.
Di nomor perorangan, Jonatan Christie dan Alwi Farhan akan menjadi tumpuan. Sementara di nomor beregu, Moh Zaki Ubaidillah dan Muhamad Yusuf jad tumpuan.
Hal serupa dilakukan untuk tim putri, baik di sektor perorangan maupun beregu. Asian Games 2026 berlangsung 19 September hingga 4 Oktober, di mana cabor bulutangkis dimulai sehari setelah upacara pembukaan.
Nomor beregu lebih dulu dipertandingkan mulai 20 hingga 24 September, sebelum nomor perorangan dari 25 hingga 29 September. Cabor bulutangkis digelar di Ichinomiya City Municipal Gymnasium.
""Jadi, fokus utama kami adalah nomor beregu terlebih dahulu. Kami ingin seluruh pemain bisa tampil maksimal dan memberikan kontribusi terbaik untuk tim putra maupun putri,"" sambung Eng Hian.
Daftar Pebulutangkis putra
Jonatan Christie
Alwi Farhan
Moh Zaki Ubaidillah
Muhamad Yusuf
Fajar Alfian
Muhammad Shohibul Fikri
Leo Rolly Carnando
Daniel Marthin
Nikolaus Joaquin
Amri Syahnawi
Daftar Pebulutangkis putri
Putri Kusuma Wardani
Thalita Ramadhani Wiryawan
Ni Kadek Dhinda Amartya Pratiwi
Mutiara Ayu Puspitasari
Rachel Allessya Rose
Febi Setianingrum
Febriana Dwipuji Kusuma
Meilysa Trias Puspitasari
Siti Fadia Silva Ramadhanti
Nita Violina Marwah"
FINANCE,"Di KTT BRICS, Prabowo Ungkap Kekayaan Mineral RI","Presiden Prabowo Subianto mengatakan semua negara saat ini harus mampu mengubah kerentanan menjadi peluang yang bisa mendorong kesejahteraan masyarakat. Baginya, Indonesia pun sedang berupaya melakukan hal tersebut.
Menurutnya Indonesia adalah negara kepulauan yang terletak di Cincin Api yang paling aktif. Indonesia setiap hari hidup dengan berbagai potensi bencana alam. Mulai dari naiknya permukaan laut, cuaca ekstrem, dan gunung berapi aktif.
Di tengah kerentanan itu, nyatanya Prabowo mengatakan Indonesia memiliki kekayaan alam besar. Sederet mineral kritis yang bisa jadi sumber daya terbarukan hingga hutan rimbun yang jadi paru-paru dunia.
""Namun, daratan dan lautan kita juga menyimpan banyak hal yang akan menjadi fondasi masa depan, mineral penting, unsur tanah jarang, sumber daya terbarukan untuk teknologi bersih dan teknologi tinggi, serta hutan yang bernapas bagi dunia,"" papar Prabowo dalam pidatonya di KTT BRICS, Minggu (13/9/2026).
Menurutnya, hal yang sama berlaku bagi semua negara anggota BRICS. Bersama-sama, semua negara BRICS memiliki bagian yang signifikan dari mineral penting dan sumber daya energi dunia.
""Kita memiliki segala sesuatu yang menjadi fondasi green century. Itu lah mengapa ketika bencana terjadi, kita harus melihatnya sebagai lebih dari sekadar bencana. Kita harus melihat hubungan erat antara perubahan iklim, ketahanan, dan pembangunan nasional,"" papar Prabowo.
Semua pihak menurutnya harus saling bekerja sama menyatukan sumber daya yang ada untuk memberikan perbedaan nyata bagi dunia.
""Kita juga menyatukan sumber daya, kapasitas produktif, kemampuan teknologi, dan pasar yang sangat besar. Jika digabungkan, BRICS dapat membuat perbedaan nyata dan vital bagi dunia,"" lanjut Prabowo.
(acd/acd)"
FINANCE,Besok Transmart Full Day Sale! Sepeda Dibanderol Mulai Rp 1 Jutaan,"Transmart kembali menghadirkan program belanja hemat Full Day Sale pada Minggu (13/9/2026). Pelanggan dapat menikmati berbagai promo dan diskon mulai dari toko buka hingga pukul 22.00 WIB.
Diskon yang diberikan juga berlaku untuk beragam produk di berbagai wilayah, salah satunya Aneka Sepeda dengan diskon 50+20%. Untuk di Pulau Jawa, harga normal Aneka Sepeda ini adalah Rp 1.499.000 per unit, kemudian mendapatkan harga promo menjadi Rp 1.299.000 per unit.
Namun bagi pelanggan yang melakukan pembayaran menggunakan Kartu Kredit Bank Mega atau Bank Mega Syariah, maka dapat membawa pulang sepeda tersebut dengan harga Rp 1.039.200 per unit.
Sementara untuk di luar Pulau Jawa, harga normal Aneka Sepeda ini adalah Rp 1.599.000 per unit, kemudian mendapatkan harga promo menjadi Rp 1.399.000 per unit.
Namun bagi pelanggan yang melakukan pembayaran menggunakan Kartu Kredit Bank Mega atau Bank Mega Syariah, maka dapat membawa pulang sepeda tersebut dengan harga Rp 1.119.200 per unit.
Perlu diingat, ada syarat dan ketentuan untuk mendapatkan diskon produk tersebut, di mana tidak berlaku untuk pembelian partai besar dan minimal transaksi Rp 300 ribu.
Di luar itu, selama Transmart Full Day Sale masih ada berbagai promo menarik lainnya hadir dengan diskon hingga 50%+20% untuk beragam produk, mulai dari sembako, produk rumah tangga, furnitur, kosmetik, fesyen, hingga elektronik.
Jadi tunggu apa lagi? Buruan serbu gerai Transmart terdekat dan nikmati segudang promo yang ada!
(hns/hns)"
SPORT,"Hasil F1 GP Italia 2026: Kimi Antonelli Menang, Mercedes 1-2","Pebalap Mercedes GP Kimi Antonelli berhasil merebut kemenangan di F1 GP Italia 2026. Semakin lengkap karena rekan setimnya George Russell finis kedua.
Pada balapan yang dihelat di Sirkuit Monza, Minggu (6/9/2026) malam WIB, Antonelli sejatinya tidak punya posisi start yang bagus, yakni dari urutan ketujuh.
Apalagi dia mendapat penalti sehingga harus turun jauh ke urutan ke-19 alias start dari grid.
Pierre Gasly secara mengejutkan melajukan Alpine miliknya ke posisi pole, disusul Russell di posisi kedua, dan driver McLaren Oscar Piastri di posisi ketiga.
Duo pebalap tuan rumah, Charles Leclerc dan Lewis Hamilton, di posisi keempat serta kelima. Bendera merah sudah muncul di lap kedua saat Leclerc harus out dari balapan karena menabrak dinding.
Leclerc kehilangan kendali mobilnya tak lama setelah menyalip Piastri untuk naik ke posisi keempat. Russell saat itu masih memimpin balapan disusul Gasly dan Max Verstappen.
Antonelli sudah naik tujuh strip ke urutan ke-12 saat insiden terjadi. Setelah itu Antonelli pelan tapi pasti mampu memperbaiki posisinya.
Masuknya virtual safety car membuat Antonelli bisa mendekati Russell di sepertiga balapan. Salip-menyalip terjadi antara keduanya di lap ke-22, sebelum Antonelli mengunci posisi terdepan.
Russell tidak mampu mengejar Antonelli sampai 53 lap berlalu, sehingga rekan setimnya itu muncul sebagai pemenang. Russell harus puas di posisi kedua disusul Verstappen.
McLaren menempatkan dua pebalapnya di lima besar, Lando Norris di urutan keempat dan Piastri di urutan kelima. Hamilton menjaga nama baik Ferrari dengan finis keenam.
Melengkapi 10 besar adalah Gasly, Arvid Lindblad, Franco Colapinto, dan Yuki Tsunoda. Antonelli makin kukuh di puncak klasemen F1 dengan 267 poin, unggul 56 angka dari Russell di posisi kedua dan 76 angka dari Hamilton di posisi ketiga."
SPORT,"MotoGP Aragon Selesai, Ini Nama Pemenang Bold Riders Podium Picks","Marc Marquez kembali menjadi yang tercepat di MotoGP Aragon 2026. Rider berjuluk The Baby Alien itu berhasil memenangi balapan di MotorLand Aragon, Minggu (30/8).
Kemenangan tersebut membuat Marc mencatat hat-trick di Aragon. Ia kembali berdiri di podium teratas setelah sebelumnya juga memenangi dua edisi terakhir balapan di sirkuit yang sama.
Balapan sempat menyajikan perubahan posisi di barisan depan. Marco Bezzecchi yang mengawali race dengan baik sempat memimpin, sebelum Marc mengambil alih posisi pertama pada lap keenam.
Pedro Acosta kemudian menjadi rider yang paling dekat dengan Marc. Namun hingga finis, Acosta harus puas di posisi kedua, sementara Bezzecchi melengkapi podium di urutan ketiga.
Sementara itu, Alex Marquez dari Gresini Racing harus berjuang setelah kehilangan beberapa posisi di awal balapan. Ia kemudian mampu memperbaiki posisinya dan menyelesaikan race di urutan keempat.
Bagi Alex, hasil tersebut tetap berarti. Ia mengantongi 13 poin dari balapan utama dan total membawa pulang 22 poin dari akhir pekan Aragon setelah sebelumnya finis kedua di Sprint Race.
Alex mengakui ada kesalahan di awal race yang membuatnya kehilangan waktu. Meski gagal naik podium, tambahan poin tersebut tetap penting untuk menjaga persaingannya di musim 2026.
Tebakan Podium Terjawab
Keseruan di Aragon tidak hanya terjadi di lintasan. Para penggemar MotoGP sebelumnya juga ikut menguji insting mereka lewat Bold Riders Podium Picks.
Dalam kompetisi ini, peserta menebak tiga rider yang akan finis di posisi pertama, kedua, dan ketiga. Setelah race selesai dan seluruh prediksi diperiksa, dua detikers berhasil mengumpulkan poin tertinggi.
Mereka adalah:
- Nung Jannah
- Khoirul Anam
Keduanya berhak mendapatkan voucher masing-masing senilai Rp250 ribu. Selamat untuk Nung Jannah dan Khoirul Anam yang berhasil membaca peluang podium di Aragon.
Buat detikers yang belum berhasil, masih ada seri MotoGP berikutnya untuk kembali menguji insting. Siapa tahu, tebakan berikutnya justru membawa pulang hadiah.
Buat lo yang belum gabung, sekarang waktunya follow Bold Riders, official sponsor Gresini Racing Moto GP team sekaligus wadah komunitas motor multi-genre terbesar di Indonesia.
Di sini lo bisa ketemu sesama pecinta motor, riding bareng, sampai ikut berbagai aktivitas seru. Jangan lupa follow Instagram @boldriders supaya nggak ketinggalan update MotoGP, konten otomotif, dan info event motor lainnya.
Bold Riders, Spirit of Brotherhood!"
FINANCE,Menhub soal Insiden Kapal Virgo: Pemerintah Investigasi Secara Menyeluruh,"Menteri Perhubungan Dudy Purwagandhi buka suara soal nsiden kapal penumpang KMP Virgo Transport 8 yang hilang kontak di perairan Laut Jawa. Kapal tersebut diketahui mengalami insiden listing atau miring ke atas.
Dudy menyampaikan duka cita mendalam atas insiden yang terjadi. Pihaknya juga akan mengawal proses penanganan musibah tersebut.
""Kami menyampaikan duka cita yang mendalam kepada seluruh keluarga korban, dan Kementerian Perhubungan bersama seluruh stakeholder akan terus mengawal proses penanganan musibah ini hingga seluruh tahapan dapat selesai dilaksanakan,"" ujar Dudy dalam keterangan video, Minggu (13/9/2026).
Dia mengatakan Komisi Nasional Keselamatan Transportasi (KNKT) akan langsung diterjunkan untuk melakukan investigasi secara menyeluruh soal penyebab terjadinya insiden maut yang menewaskan 6 orang.
""Terkait penyebab terjadinya musibah ini, pemerintah akan melakukan investigasi secara menyeluruh. Proses tersebut akan dilaksanakan oleh KNKT sesuai dengan kewenangannya,"" ujar Dudy.
Pihaknya meminta semua pihak dapat memberikan kesempatan kepada KNKT untuk bekerja secara profesional, independen, dan berbasiskan data serta fakta. Hasil investigasi nantinya dapat menjadi dasar perbaikan penyelenggaraan keselamatan pelayaran.
KMP Virgo Transport 8 diketahui membawa total 243 orang, terdiri dari 30 kru, 27 mitra kerja kapal, 59 penumpang dewasa, 1 anak-anak, serta 126 sopir dan kernet. Kapal tersebut juga membawa 89 unit kendaraan.
Sudah ada 107 orang yang dievakuasi dan dinyatakan selamat. Sementara itu, 6 penumpang lainnya tewas dalam insiden tersebut.
(acd/acd)"
